interval,player_id,player_name,teams,country,matches_played,batting_innings,runs,balls_faced,fours,sixes,avg_runs_per_game,batting_strike_rate,bowling_innings,balls_bowled,overs_bowled_equivalent,maidens,runs_conceded,wickets,bowling_economy,bowling_strike_rate,batting_hand,batting_style_raw,bowling_hand,bowling_style,bowling_style_raw
2008-2011,3604,Rizwan Ahmed Cheema,Canada,Canada,31,30,707,615,84,34,22.81,114.96,30,1240,206.67,11,1029,32,4.98,38.75,Right,Right hand Bat,Right,Medium,Right arm Medium
2008-2011,3784,Robert Nicol,New Zealand,,3,3,131,167,14,0,43.67,78.44,3,78,13.0,0,76,1,5.85,78.0,,,,,
2008-2011,3049,Robin Peterson,South Africa,,12,8,84,81,11,1,7.0,103.7,12,581,96.83,5,454,22,4.69,26.41,,,,,
2008-2011,3355,Robin Uthappa,India,,13,11,179,275,12,2,13.77,65.09,0,0,,0,0,0,,,,,,,
2008-2011,3511,Rodney Trott,Bermuda,,8,7,83,158,5,0,10.38,52.53,8,401,66.83,0,299,10,4.47,40.1,,,,,
2008-2011,3658,Roelof van der Merwe,South Africa,,13,7,39,41,3,2,3.0,95.12,13,705,117.5,2,561,17,4.77,41.47,,,,,
2008-2011,3474,Rohit Sharma,India,India,68,65,1749,2213,122,20,25.72,79.03,23,365,60.83,2,309,6,5.08,60.83,Right,Right hand Bat,Right,Medium,Right arm Medium
2008-2011,3804,Rory D McCann,Ireland,,8,5,44,77,3,0,5.5,57.14,0,0,,0,0,0,,,Right,Right Handed,,,
2008-2011,3404,Ross Lyons,Scotland,,12,6,13,22,0,0,1.08,59.09,10,498,83.0,8,339,10,4.08,49.8,,,,,
2008-2011,3348,Ross Taylor,New Zealand,,77,69,2333,2871,175,67,30.3,81.26,2,24,4.0,0,17,0,4.25,,,,,,
2008-2011,3732,Royston Crandon,West Indies,,1,1,5,9,1,0,5.0,55.56,0,0,,0,0,0,,,,,,,
2008-2011,3332,Rudra Pratap Singh,India; Match tied,India,20,6,52,125,3,1,2.6,41.6,19,822,137.0,9,821,21,5.99,39.14,Right,Right hand Bat,Left,Fast Medium,Left arm Fast Medium
2008-2011,3012,Runako Morton,West Indies,,12,12,283,435,20,2,23.58,65.06,0,0,,0,0,0,,,,,,,
2008-2011,3892,Runish Gudhka,Kenya,,2,2,17,14,1,0,8.5,121.43,2,78,13.0,0,60,1,4.62,78.0,,,,,
2008-2011,3368,Russell D M Leverock,Bermuda,,7,4,32,90,2,0,4.57,35.56,7,396,66.0,9,214,4,3.24,99.0,Right,Right Handed,Left,Orthodox,Slow Left arm Orthodox
2008-2011,3876,Rustam Bhatti,Canada,,1,1,3,4,0,0,3.0,75.0,0,0,,0,0,0,,,,,,,
2008-2011,3824,Rusty Theron,South Africa,,4,1,5,5,0,0,1.25,100.0,4,194,32.33,0,173,12,5.35,16.17,,,,,
2008-2011,3674,Ruud Nijman,Netherlands,,1,0,0,0,0,0,0.0,,1,49,8.17,0,31,3,3.8,16.33,,,,,
2008-2011,3589,Ruvindu Gunasekera,Canada,Canada,12,12,251,359,24,5,20.92,69.92,0,0,,0,0,0,,,Left,Left hand Bat,,Leg Break Googly,Leg Break Googly
2008-2011,3820,Ryan Flannigan,Scotland,Scotland,1,1,0,2,0,0,0.0,0.0,0,0,,0,0,0,,,Right,Right hand Bat,Right,Medium,Right arm Medium
2008-2011,3584,Ryan Haire,Ireland,,2,2,56,72,7,1,28.0,77.78,0,0,,0,0,0,,,,,,,
2008-2011,3638,Ryan Harris,Australia,,17,11,43,35,3,1,2.53,122.86,16,845,140.83,13,661,41,4.69,20.61,,,,,
2008-2011,3736,Ryan McLaren,South Africa,South Africa,10,8,37,60,4,0,3.7,61.67,10,432,72.0,6,366,8,5.08,54.0,Left,Left hand Bat,Right,Medium Fast,Right arm Medium Fast
2008-2011,2971,Ryan Sidebottom,England; Match tied,,17,12,106,166,9,0,6.24,63.86,16,814,135.67,3,695,13,5.12,62.62,,,,,
2008-2011,3381,Ryan Steede,Bermuda,,3,3,21,44,3,0,7.0,47.73,3,84,14.0,0,56,2,4.0,42.0,,,,,
2008-2011,3399,Ryan Watson,Scotland,,14,14,259,331,28,3,18.5,78.25,9,336,56.0,2,276,6,4.93,56.0,,,,,
2008-2011,3407,Ryan ten Doeschate,Netherlands,,16,16,926,1072,62,20,57.88,86.38,16,803,133.83,11,673,25,5.03,32.12,,,,,
2008-2011,1735,Sachin Tendulkar,India,,46,45,2149,2311,234,24,46.72,92.99,6,59,9.83,0,64,0,6.51,,,,,,
2008-2011,3591,Saeed Ajmal,Pakistan,Pakistan,55,33,158,282,9,0,2.87,56.03,54,2776,462.67,23,1891,78,4.09,35.59,Right,Right hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3868,Safyaan Sharif,Scotland,,3,2,10,23,0,0,3.33,43.48,3,120,20.0,1,119,5,5.95,24.0,,,,,
2008-2011,2152,Sahibzada Mohammad Shahid Khan Afridi,Pakistan,Pakistan,84,73,1654,1282,140,58,19.69,129.02,82,4527,754.5,16,3420,121,4.53,37.41,Right,Right hand Bat,,Leg Break Googly,Leg Break Googly
2008-2011,3179,Sajid Mahmood,England,,1,0,0,0,0,0,0.0,,1,42,7.0,0,41,1,5.86,42.0,,,,,
2008-2011,3132,Salman Butt,Pakistan,Pakistan,37,37,1401,1765,167,6,37.86,79.38,2,24,4.0,0,32,0,8.0,,Left,Left hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3605,Samit Patel,England,,21,13,306,333,21,8,14.57,91.89,19,707,117.83,2,670,18,5.69,39.28,,,,,
2008-2011,3669,Samiullah Shinwari,Afghanistan,Afghanistan,18,12,300,434,23,5,16.67,69.12,18,897,149.5,7,634,25,4.24,35.88,Right,Right hand Bat,,Leg Break,Leg Break
2008-2011,872,Sanath Jayasuriya,Sri Lanka,,42,41,1223,1221,151,25,29.12,100.16,26,787,131.17,4,702,16,5.35,49.19,,,,,
2008-2011,3430,Sandeep Jyoti,Canada,Canada,10,9,211,340,13,2,21.1,62.06,4,120,20.0,1,90,1,4.5,120.0,Right,Right hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3089,Sanjayan Thuraisingam,Canada,Canada,1,1,7,9,1,0,7.0,77.78,1,60,10.0,0,33,2,3.3,30.0,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
2008-2011,3556,Saqib Ali,United Arab Emirates,United Arab Emirates,2,2,29,53,2,0,14.5,54.72,2,60,10.0,0,57,1,5.7,60.0,Right,Right hand Bat,,,
2008-2011,3513,Sarfaraz Ahmed,Pakistan,Pakistan,14,9,87,142,2,0,6.21,61.27,0,0,,0,0,0,,,Right,Right hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3833,Saurabh Tiwary,India,,3,2,49,56,5,1,16.33,87.5,0,0,,0,0,0,,,,,,,
2008-2011,3882,Scott Borthwick,England,,2,2,18,16,1,1,9.0,112.5,2,54,9.0,0,72,0,8.0,,,,,,
2008-2011,2899,Scott Styris,Match tied; New Zealand,,46,39,1043,1303,85,12,22.67,80.05,34,1131,188.5,2,897,20,4.76,56.55,,,,,
2008-2011,3270,Sean Williams,Zimbabwe,,28,28,732,1017,58,4,26.14,71.98,14,311,51.83,1,266,2,5.13,155.5,,,,,
2008-2011,3881,Seekkuge Prasanna,Sri Lanka,Sri Lanka,7,5,18,50,1,0,2.57,36.0,7,339,56.5,4,272,8,4.81,42.38,Right,Right hand Bat,,Leg Break,Leg Break
2008-2011,3178,Separamadu Lasith Malinga,Sri Lanka,,54,28,229,267,19,11,4.24,85.77,51,2658,443.0,20,2243,89,5.06,29.87,Right,Right Handed,Right,Fast Medium,Right arm Fast Medium
2008-2011,3621,Seren Waters,Kenya,,20,20,419,750,48,2,20.95,55.87,1,18,3.0,0,14,0,4.67,,,,,,
2008-2011,3358,Sewnarine Chattergoon,West Indies,West Indies,15,14,307,516,45,3,20.47,59.5,3,68,11.33,0,42,1,3.71,68.0,Left,Left hand Bat,,Leg Break,Leg Break
2008-2011,3763,Shabir Ahmad Noori,Afghanistan,Afghanistan,8,8,169,257,18,3,21.12,65.76,0,0,,0,0,0,,,Right,Right hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3558,Shadeep Silva,United Arab Emirates,,1,1,7,13,0,0,7.0,53.85,1,42,7.0,0,33,0,4.71,,,,,,
2008-2011,3730,Shafiqullah Shafiq,Afghanistan,Afghanistan,2,1,0,3,0,0,0.0,0.0,0,0,,0,0,0,,,Right,Right hand Bat,,,
2008-2011,3748,Shafiul Islam,Bangladesh,Bangladesh,43,23,102,181,11,2,2.37,56.35,43,1797,299.5,20,1761,50,5.88,35.94,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
2008-2011,3280,Shahadat Hossain Dipu,Bangladesh,Bangladesh,19,13,49,75,6,1,2.58,65.33,18,712,118.67,3,782,15,6.59,47.47,Right,Right-hand bat,Right,Off Break,Right arm Off Break
2008-2011,3705,Shaheed Keshvani,Canada,Canada,5,2,21,38,0,0,4.2,55.26,2,48,8.0,0,48,0,6.0,,Right,Right hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3283,Shahriar Nafees Ahmed,Bangladesh,Bangladesh,26,26,636,920,81,0,24.46,69.13,0,0,,0,0,0,,,Left,Left hand Bat,,,
2008-2011,3426,Shakib Al Hasan,Bangladesh,Bangladesh,85,81,2430,2983,206,19,28.59,81.46,85,4532,755.33,49,3229,119,4.27,38.08,Left,Left hand Bat,Left,Orthodox,Slow Left arm Orthodox
2008-2011,3880,Shaminda Eranga,Sri Lanka,,3,3,3,11,0,0,1.0,27.27,3,114,19.0,0,99,4,5.21,28.5,,,,,
2008-2011,3773,Shanan Stewart,New Zealand,,4,4,26,59,2,0,6.5,44.07,0,0,,0,0,0,,,,,,,
2008-2011,2996,Shane Bond,New Zealand,,15,12,92,107,6,2,6.13,85.98,15,849,141.5,18,654,22,4.62,38.59,,,,,
2008-2011,3662,Shane Harwood,Australia,,1,1,0,4,0,0,0.0,0.0,1,60,10.0,0,57,2,5.7,30.0,,,,,
2008-2011,3017,Shane Watson,Australia,,75,74,3185,3408,340,78,42.47,93.46,62,2443,407.17,12,1963,76,4.82,32.14,,,,,
2008-2011,3729,Shapoor Zadran,Afghanistan,Afghanistan,13,8,18,37,1,2,1.38,48.65,13,617,102.83,17,471,17,4.58,36.29,Left,Left hand Bat,Left,Fast Medium,Left arm Fast Medium
2008-2011,3561,Shaun Marsh,Australia,,36,36,1274,1684,117,13,35.39,75.65,0,0,,0,0,0,,,,,,,
2008-2011,2039,Shaun Pollock,South Africa,,5,3,43,45,3,0,8.6,95.56,5,282,47.0,11,131,6,2.79,47.0,,,,,
2008-2011,3319,Shaun Tait,Australia,,17,6,14,19,2,0,0.82,73.68,17,839,139.83,8,687,29,4.91,28.93,,,,,
2008-2011,3596,Shawn Findlay,West Indies,,9,8,146,194,14,5,16.22,75.26,0,0,,0,0,0,,,,,,,
2008-2011,3750,Shem Ngoche,Kenya,,8,7,15,37,1,0,1.88,40.54,7,336,56.0,3,228,5,4.07,67.2,,,,,
2008-2011,3832,Shikhar Dhawan,India,India,5,5,69,123,4,1,13.8,56.1,0,0,,0,0,0,,,Left,Left hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3769,Shingirai Masakadza,Zimbabwe,,7,4,75,78,9,3,10.71,96.15,7,310,51.67,1,410,11,7.94,28.18,,,,,
2008-2011,1979,Shivnarine Chanderpaul,West Indies,West Indies,43,40,1637,2274,107,14,38.07,71.99,1,24,4.0,0,19,0,4.75,,Left,Left hand Bat,,Leg Break,Leg Break
2008-2011,2124,Shoaib Akhtar,Pakistan,Pakistan,25,17,49,67,5,2,1.96,73.13,25,1206,201.0,10,1088,28,5.41,43.07,Right,Right hand Bat,Right,Fast,Right arm Fast
2008-2011,2879,Shoaib Malik,Pakistan,Pakistan,50,44,1239,1529,107,8,24.78,81.03,42,1496,249.33,11,1143,30,4.58,49.87,Right,Right hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3879,Shuvagata Hom Chowdhury,Bangladesh,Bangladesh,4,3,70,86,9,0,17.5,81.4,1,12,2.0,0,9,0,4.5,,Right,Right hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3567,Skhawit Ali,Hong Kong,,2,2,8,23,1,0,4.0,34.78,1,48,8.0,0,68,0,8.5,,,,,,
2008-2011,3525,Sohail Khan,Pakistan,Pakistan,5,1,4,9,1,0,0.8,44.44,5,253,42.17,1,199,6,4.72,42.17,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
2008-2011,3502,Sohail Tanvir,Pakistan,Pakistan,35,19,215,241,25,1,6.14,89.21,34,1633,272.17,16,1415,44,5.2,37.11,Left,Left hand Bat,Left,Medium Fast,Left arm Medium Fast
2008-2011,3327,Sreesanth,India,,19,9,19,40,1,0,1.0,47.5,18,793,132.17,2,884,25,6.69,31.72,,,,,
2008-2011,3442,Stefan Kelly,Bermuda,,4,4,7,26,0,0,1.75,26.92,4,180,30.0,1,175,8,5.83,22.5,,,,,
2008-2011,3895,Stephan Myburgh,Netherlands,,2,2,61,79,7,2,30.5,77.22,0,0,,0,0,0,,,,,,,
2008-2011,3037,Steve Harmison,England,,12,3,24,25,1,0,2.0,96.0,11,456,76.0,4,424,9,5.58,50.67,,,,,
2008-2011,3756,Steve Smith,Australia,,29,19,343,394,24,3,11.83,87.06,25,863,143.83,0,755,22,5.25,39.23,,,,,
2008-2011,2914,Steve Tikolo,Kenya,,33,31,636,820,59,7,19.27,77.56,26,924,154.0,7,765,19,4.97,48.63,,,,,
2008-2011,3677,Steven Davies,England,,8,8,244,231,36,0,30.5,105.63,0,0,,0,0,0,,,,,,,
2008-2011,3775,Steven Finn,England; Match tied,,11,8,62,66,6,2,5.64,93.94,11,616,102.67,5,536,15,5.22,41.07,,,,,
2008-2011,3427,Steven Outerbridge,Bermuda,,8,8,218,352,19,2,27.25,61.93,6,108,18.0,2,81,1,4.5,108.0,,,,,
2008-2011,3433,Steven Welsh,Canada,,1,1,7,6,0,1,7.0,116.67,1,12,2.0,0,11,0,5.5,,,,,,
2008-2011,3434,Stuart Broad,England; Match tied,,63,33,236,324,15,3,3.75,72.84,62,3152,525.33,34,2770,107,5.27,29.46,,,,,
2008-2011,3706,Stuart Chalmers,Scotland,,2,1,9,14,1,0,4.5,64.29,2,60,10.0,0,49,1,4.9,60.0,,,,,
2008-2011,3326,Stuart Clark,Australia,,11,4,10,20,0,0,0.91,50.0,11,475,79.17,7,286,14,3.61,33.93,,,,,
2008-2011,3059,Stuart Matsikenyeri,Zimbabwe,Zimbabwe,39,38,861,1084,64,11,22.08,79.43,10,164,27.33,0,117,3,4.28,54.67,Right,Right hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3917,Stuart Meaker,England,,2,2,2,16,0,0,1.0,12.5,2,114,19.0,1,110,2,5.79,57.0,,,,,
2008-2011,3608,Subramaniam Badrinath,India,India,7,6,79,172,4,0,11.29,45.93,0,0,,0,0,0,,,Right,Right hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3743,Sudeep Tyagi,India,India,4,1,1,2,0,0,0.25,50.0,4,165,27.5,4,144,3,5.24,55.0,Right,Right hand Bat,Right,Medium,Right arm Medium
2008-2011,3543,Sulieman Benn,West Indies,,25,16,109,151,10,1,4.36,72.19,24,1247,207.83,13,924,29,4.45,43.0,,,,,
2008-2011,3361,Sunil Dhaniram,Canada,Canada,20,18,439,541,36,3,21.95,81.15,18,642,107.0,4,464,10,4.34,64.2,Left,Left hand Bat,Left,Orthodox,Slow Left arm Orthodox
2008-2011,3922,Sunil Narine,West Indies,,3,2,35,48,4,1,11.67,72.92,3,156,26.0,1,121,3,4.65,52.0,,,,,
2008-2011,3746,Suraj Randiv,Sri Lanka,,28,15,239,334,24,1,8.54,71.56,25,1239,206.5,5,976,33,4.73,37.55,,,,,
2008-2011,3745,Suranga Lakmal,Sri Lanka,,12,5,1,15,0,0,0.08,6.67,10,473,78.83,2,510,13,6.47,36.38,,,,,
2008-2011,3287,Suresh Raina,India; Match tied,,99,87,2638,2687,220,66,26.65,98.18,41,789,131.5,0,650,14,4.94,56.36,,,,,
2008-2011,3323,Syed Rasel,Bangladesh,Bangladesh,21,11,25,56,2,0,1.19,44.64,21,1010,168.33,6,912,17,5.42,59.41,Left,Left hand Bat,Left,Medium Fast,Left arm Medium Fast
2008-2011,3184,Tabarak Hussain Dar,Hong Kong,Hong Kong,2,2,45,88,5,0,22.5,51.14,0,0,,0,0,0,,,Right,Right hand Bat,Right,Medium,Right arm Medium
2008-2011,3577,Tamauri Tucker,Bermuda,,5,0,0,0,0,0,0.0,,5,174,29.0,0,157,7,5.41,24.86,,,,,
2008-2011,3461,Tamim Iqbal Khan,Bangladesh,Bangladesh,88,88,2660,3213,298,36,30.23,82.79,2,6,1.0,0,13,0,13.0,,Left,Left hand Bat,,,
2008-2011,3345,Tanmay Mishra,Kenya,India,8,8,209,315,18,1,26.12,66.35,0,0,,0,0,0,,,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
2008-2011,3837,Tanvir Ahmed,Pakistan,Pakistan,2,1,18,12,1,2,9.0,150.0,2,60,10.0,0,83,2,8.3,30.0,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
2008-2011,2975,Tatenda Taibu,Zimbabwe,Zimbabwe,56,56,1667,2314,115,13,29.77,72.04,0,0,,0,0,0,,,Right,Right hand Bat,Right,Medium,Right arm Medium
2008-2011,2982,Taufeeq Umar,Pakistan,Pakistan,3,3,57,117,4,1,19.0,48.72,0,0,,0,0,0,,,Left,Left hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3173,Tawanda Mupariwa,Zimbabwe,Zimbabwe,13,10,16,61,0,0,1.23,26.23,13,588,98.0,5,439,19,4.48,30.95,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
2008-2011,2858,Thilan Samaraweera,Sri Lanka,,36,29,663,865,61,0,18.42,76.65,3,30,5.0,0,33,1,6.6,30.0,,,,,
2008-2011,3126,Thilan Thushara,Sri Lanka,,38,27,392,424,32,9,10.32,92.45,38,1676,279.33,17,1393,50,4.99,33.52,,,,,
2008-2011,3172,Thilina Kandamby,Sri Lanka,,34,31,847,1199,69,0,24.91,70.64,9,174,29.0,1,173,2,5.97,87.0,,,,,
2008-2011,3747,Thisara Perera,Sri Lanka,,25,19,241,212,21,6,9.64,113.68,24,1012,168.67,11,855,37,5.07,27.35,,,,,
2008-2011,3818,Thomas Heggelman,Netherlands,,5,5,27,85,0,0,5.4,31.76,3,102,17.0,0,86,5,5.06,20.4,,,,,
2008-2011,2806,Thomas Odoyo,Kenya,,34,30,522,743,37,17,15.35,70.26,30,1213,202.17,24,869,34,4.3,35.68,,,,,
2008-2011,2197,Tillakaratne Dilshan,Sri Lanka,,88,84,3155,3333,384,23,35.85,94.66,42,1006,167.67,5,811,20,4.84,50.3,,,,,
2008-2011,3396,Tim Bresnan,England; Match tied,,53,40,618,681,68,1,11.66,90.75,52,2663,443.83,20,2342,66,5.28,40.35,,,,,
2008-2011,3725,Tim Paine,Australia,,26,26,737,1070,89,5,28.35,68.88,0,0,,0,0,0,,,,,,,
2008-2011,3542,Tim Southee,New Zealand,,51,27,162,190,9,7,3.18,85.26,48,2451,408.5,22,2132,70,5.22,35.01,,,,,
2008-2011,3534,Timothy Ambrose,England,,5,5,10,34,0,0,2.0,29.41,0,0,,0,0,0,,,,,,,
2008-2011,3761,Timothy Gruitjers,Netherlands,,4,4,68,116,5,2,17.0,58.62,4,120,20.0,1,79,2,3.95,60.0,,,,,
2008-2011,3498,Timycen Maruma,Zimbabwe,,6,6,46,108,6,0,7.67,42.59,5,130,21.67,1,130,4,6.0,32.5,,,,,
2008-2011,3168,Tinashe Panyangara,Zimbabwe,Zimbabwe,2,2,4,13,1,0,2.0,30.77,1,36,6.0,0,51,0,8.5,,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
2008-2011,3114,Tino Best,West Indies,,1,1,8,19,1,0,8.0,42.11,1,39,6.5,0,50,0,7.69,,,,,,
2008-2011,3794,Tom Cooper,Netherlands,,18,18,864,1224,78,2,48.0,70.59,14,353,58.83,3,299,9,5.08,39.22,,,,,
2008-2011,3424,Tom de Grooth,Netherlands,,23,23,264,499,23,0,11.48,52.91,0,0,,0,0,0,,,,,,,
2008-2011,3710,Travis Dowlin,West Indies,,11,11,228,348,20,1,20.73,65.52,0,0,,0,0,0,,,,,,,
2008-2011,3385,Trent Johnston,Ireland,,37,26,325,364,25,6,8.78,89.29,37,1820,303.33,32,1208,49,3.98,37.14,,,,,
2008-2011,3479,Trevin Bastiampillai,Canada,,8,8,87,134,15,0,10.88,64.93,1,12,2.0,0,11,0,5.5,,,,,,
2008-2011,3734,Trevor Garwe,Zimbabwe,,1,0,0,0,0,0,0.0,,1,36,6.0,0,50,1,8.33,36.0,,,,,
2008-2011,3848,Tyson Gordon,Canada,,5,5,27,59,2,0,5.4,45.76,2,15,2.5,0,25,0,10.0,,,,,,
2008-2011,3721,Umar Akmal,Pakistan,Pakistan,53,47,1569,1814,126,25,29.6,86.49,0,0,,0,0,0,,,Right,Right hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3793,Umar Amin,Pakistan,Pakistan,3,3,34,59,3,0,11.33,57.63,0,0,,0,0,0,,,Left,Left hand Bat,Right,Medium,Right arm Medium
2008-2011,3360,Umar Bhatti,Canada,Canada,18,15,222,315,15,3,12.33,70.48,17,716,119.33,16,530,16,4.44,44.75,Left,Left hand Bat,Left,Medium,Left arm Medium
2008-2011,3100,Umar Gul,Pakistan,Pakistan,59,34,234,357,18,5,3.97,65.55,58,2738,456.33,33,2336,94,5.12,29.13,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
2008-2011,3786,Umesh Yadav,India,,9,3,20,22,3,0,2.22,90.91,9,434,72.33,3,428,11,5.92,39.45,,,,,
2008-2011,3291,Upul Tharanga,Sri Lanka,,66,64,2194,2962,255,13,33.24,74.07,0,0,,0,0,0,,,,,,,
2008-2011,3753,Usman Limbada,Canada,Canada,7,7,132,210,13,1,18.86,62.86,0,0,,0,0,0,,,Right,Right hand Bat,Right,Medium,Right arm Medium
2008-2011,3862,Usman Salahuddin,Pakistan,Pakistan,2,2,13,28,0,0,6.5,46.43,0,0,,0,0,0,,,Right,Right hand Bat,,,
2008-2011,3916,Varun Aaron,India,,4,1,6,11,1,0,1.5,54.55,4,169,28.17,1,156,6,5.54,28.17,,,,,
2008-2011,3636,Vaughn van Jaarsveld,South Africa,,2,2,9,15,0,0,4.5,60.0,0,0,,0,0,0,,,,,,,
2008-2011,3476,Vernon Darryl Philander,South Africa,,2,2,33,39,3,0,16.5,84.62,2,78,13.0,0,80,0,6.15,,Right,Right Handed,Right,Fast Medium,Right arm Fast Medium
2008-2011,3557,Vikrant Shetty,United Arab Emirates,United Arab Emirates,1,1,7,17,0,0,7.0,41.18,0,0,,0,0,0,,,Right,Right hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3782,Vinay Kumar,India,,15,5,24,65,1,0,1.6,36.92,15,605,100.83,10,581,16,5.76,37.81,,,,,
2008-2011,3870,Vinoo Tewarie,Netherlands,,1,1,4,22,0,0,4.0,18.18,0,0,,0,0,0,,,,,,,
2008-2011,3600,Virat Kohli,India,India,74,71,2860,3407,274,15,38.65,83.94,16,262,43.67,1,248,2,5.68,131.0,Right,Right hand Bat,Right,Medium,Right arm Medium
2008-2011,2878,Virender Sehwag,India,India,62,61,2794,2271,381,61,45.06,123.03,27,700,116.67,0,619,16,5.31,43.75,Right,Right hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3141,Vusi Sibanda,Zimbabwe,,40,40,929,1453,97,13,23.23,63.94,1,3,0.5,0,1,0,2.0,,,,,,
2008-2011,3613,W Dorakanti Balaji Rao,Canada,,10,8,59,89,4,1,5.9,66.29,10,474,79.0,1,448,12,5.67,39.5,Left,Left Handed,Right,Leg Break,Right arm Leg Break
2008-2011,3529,Wahab Riaz,Pakistan,Pakistan,22,15,80,93,6,3,3.64,86.02,20,983,163.83,8,858,38,5.24,25.87,Right,Right hand Bat,Left,Fast,Left arm Fast
2008-2011,2216,Wavell Hinds,West Indies,,5,4,45,101,3,1,9.0,44.55,0,0,,0,0,0,,,,,,,
2008-2011,3642,Wayne Parnell,South Africa,,19,8,116,164,7,2,6.11,70.73,19,950,158.33,9,945,31,5.97,30.65,,,,,
2008-2011,3807,Wesley Barresi,Netherlands,Netherlands,19,19,457,639,46,9,24.05,71.52,1,18,3.0,0,20,0,6.67,,Right,Right hand Bat,Right,Off Break,Right arm Off Break
2008-2011,3897,Wilfred Diepeveen,Netherlands,,1,1,6,7,1,0,6.0,85.71,0,0,,0,0,0,,,,,,,
2008-2011,3388,William McCallan,Ireland,,17,10,138,158,15,0,8.12,87.34,16,870,145.0,4,557,17,3.84,51.18,,,,,
2008-2011,3418,William Porterfield,Ireland,,36,36,1112,1536,126,10,30.89,72.4,0,0,,0,0,0,,,,,,,
2008-2011,3759,Wriddhiman Saha,India,,3,1,4,5,0,0,1.33,80.0,0,0,,0,0,0,,,,,,,
2008-2011,3834,Xavier Doherty,Australia,,16,5,17,31,0,0,1.06,54.84,16,822,137.0,3,620,20,4.53,41.1,,,,,
2008-2011,3269,Xavier Marshall,West Indies,,14,14,277,333,26,12,19.79,83.18,2,9,1.5,0,6,0,4.0,,,,,,
2008-2011,2946,Yasir Arafat Satti,Pakistan,Pakistan,4,3,26,49,2,1,6.5,53.06,4,180,30.0,2,140,0,4.67,,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
2008-2011,3898,Yasir Shah,Pakistan,Pakistan,1,0,0,0,0,0,0.0,,1,60,10.0,0,51,2,5.1,30.0,Right,Right hand Bat,,Leg Break Googly,Leg Break Googly
2008-2011,3550,Yusuf Pathan,India; Match tied,,56,41,810,713,62,43,14.46,113.6,49,1460,243.33,3,1335,33,5.49,44.24,,,,,
2008-2011,2949,Yuvraj Singh,India; Match tied,India,79,75,2478,2758,256,63,31.37,89.85,63,2350,391.67,5,1923,55,4.91,42.73,Right,Right hand Bat,Right,Medium Fast,Right arm Medium Fast
2008-2011,2245,Zaheer Khan,India; Match tied,India,47,19,121,242,9,2,2.57,50.0,46,2404,400.67,34,1964,72,4.9,33.39,Right,Right hand Bat,Left,Fast Medium,Left arm Fast Medium
2008-2011,3901,Zahid Hussain,Canada,Canada,2,2,9,31,1,0,4.5,29.03,2,120,20.0,1,94,2,4.7,60.0,Left,Left hand Bat,Left,Orthodox,Slow Left arm Orthodox
2008-2011,3559,Zahid Shah,United Arab Emirates,United Arab Emirates,2,2,11,20,2,0,5.5,55.0,2,120,20.0,1,98,6,4.9,20.0,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
2008-2011,3568,Zain Abbas,Hong Kong,Hong Kong,1,1,26,54,2,0,26.0,48.15,1,36,6.0,0,56,1,9.33,36.0,Right,Right hand Bat,Right,Medium,Right arm Medium
2008-2011,3714,Zameer Zahir,Canada,,1,1,3,13,0,0,3.0,23.08,1,30,5.0,0,35,2,7.0,15.0,,,,,
2008-2011,3579,Zubin Surkari,Canada,,23,22,328,656,31,0,14.26,50.0,0,0,,0,0,0,,,,,,,
2008-2011,3701,Zulqarnain Haider,Pakistan,Pakistan,4,4,48,68,3,0,12.0,70.59,0,0,,0,0,0,,,Right,Right hand Bat,,,
2012-2015,4480,Aamer Yamin,Pakistan,Pakistan,3,2,63,69,5,4,21.0,91.3,3,102,17.0,1,89,1,5.24,102.0,Right,Right hand Bat,Right,Medium,Right arm Medium
2012-2015,3845,Aaron Finch,Australia,,52,50,1865,2133,201,34,35.87,87.44,6,55,9.17,0,48,2,5.24,27.5,,,,,
