interval,player_id,player_name,teams,country,matches_played,batting_innings,runs,balls_faced,fours,sixes,avg_runs_per_game,batting_strike_rate,bowling_innings,balls_bowled,overs_bowled_equivalent,maidens,runs_conceded,wickets,bowling_economy,bowling_strike_rate,batting_hand,batting_style_raw,bowling_hand,bowling_style,bowling_style_raw
1979-1983,1527,Athula Samarasekera,Sri Lanka,,2,2,5,13,0,0,2.5,38.46,2,98,16.33,2,71,0,4.35,,,,,,
1979-1983,582,Aunshuman Dattajirao Gaekwad,India,,5,5,76,172,7,0,15.2,44.19,0,0,,0,0,0,,,Right,Right Handed,Right,Off Break,Right arm Off Break
1979-1983,1530,Balwinder Sandhu,India,,19,6,44,87,2,1,2.32,50.57,18,990,165.0,15,680,15,4.12,66.0,,,,,
1979-1983,1854,Bandula Warnapura,Sri Lanka,Sri Lanka,9,9,139,307,15,0,15.44,45.28,7,312,52.0,2,234,5,4.5,62.4,Right,Right hand Bat,Right,Medium,Right arm Medium
1979-1983,1927,Barry Wood,England,England,2,2,93,176,4,0,46.5,52.84,2,108,18.0,2,68,1,3.78,108.0,Right,Right hand Bat,Right,Medium,Right arm Medium
1979-1983,279,Bernard L Cairns,New Zealand,,47,41,570,511,38,26,12.13,111.55,46,2542,423.67,52,1613,57,3.81,44.6,Right,Right Handed,Right,Fast Medium,Right arm Fast Medium
1979-1983,1450,Bharat Reddy,India,,2,2,11,20,1,0,5.5,55.0,0,0,,0,0,0,,,,,,,
1979-1983,161,Bishen S Bedi,India,,3,3,19,43,1,0,6.33,44.19,3,216,36.0,3,114,0,3.17,,Right,Right Handed,Left,Orthodox,Slow Left arm Orthodox
1979-1983,964,Brendon Kuruppu,Sri Lanka,,7,6,182,356,25,2,26.0,51.12,0,0,,0,0,0,,,,,,,
1979-1983,2774,Brian J McKechnie,New Zealand,,8,5,18,65,0,0,2.25,27.69,8,482,80.33,6,292,14,3.63,34.43,Right,Right Handed,Right,Fast Medium,Right arm Fast Medium
1979-1983,1343,Brijesh P Patel,India,,3,3,63,106,8,0,21.0,59.43,0,0,,0,0,0,,,Right,Right Handed,,,
1979-1983,493,Bruce A Edgar,New Zealand,,42,42,1302,2584,99,3,31.0,50.39,1,12,2.0,0,5,0,2.5,,Left,Left Handed,,,
1979-1983,2636,Bruce Blair,New Zealand,,2,2,31,70,2,0,15.5,44.29,0,0,,0,0,0,,,,,,,
1979-1983,968,Bruce M Laird,Australia,,23,23,594,1131,52,0,25.83,52.52,0,0,,0,0,0,,,Right,Right Handed,,,
1979-1983,1953,Bruce Yardley,Australia,Australia,6,3,51,86,1,0,8.5,59.3,4,156,26.0,2,116,5,4.46,31.2,Right,Right hand Bat,Right,Off Break,Right arm Off Break
1979-1983,2770,Bryan M Mauricette,Canada,,3,3,20,68,0,1,6.67,29.41,0,0,,0,0,0,,,Right,Right Handed,,,
1979-1983,1413,Carl Rackemann,Australia,,7,4,2,10,0,0,0.29,20.0,7,370,61.67,5,264,17,4.28,21.76,,,,,
1979-1983,2766,Cecil Alphonso Marshall,Canada,,2,2,10,41,0,0,5.0,24.39,0,0,,0,0,0,,,Right,Right Handed,Right,Medium,Right arm Medium
1979-1983,102,Charles William Jeffrey Athey,England,,2,2,83,107,5,1,41.5,77.57,0,0,,0,0,0,,,Right,Right Handed,Right,Medium,Right arm Medium
1979-1983,1561,Chetan Sharma,India,India,2,0,0,0,0,0,0.0,,2,108,18.0,0,91,3,5.06,36.0,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
1979-1983,319,Chetandra Chauhan,India,,5,5,128,262,6,0,25.6,48.85,0,0,,0,0,0,,,,,,,
1979-1983,2653,Christopher J D Chappell,Canada,,3,3,38,143,2,0,12.67,26.57,0,0,,0,0,0,,,Right,Right Handed,,,
1979-1983,1720,Christopher James Tavare,England,,27,27,716,1457,58,2,26.52,49.14,1,12,2.0,0,3,0,1.5,,Right,Right Handed,,,
1979-1983,1298,Christopher Middleton Old,England,,12,7,25,50,0,0,2.08,50.0,12,698,116.33,23,343,15,2.95,46.53,Left,Left Handed,Right,Fast Medium,Right arm Fast Medium
1979-1983,1024,Clive Hubert Lloyd (Sir),West Indies,,47,38,912,1145,68,5,19.4,79.65,1,12,2.0,0,2,0,1.0,,Left,Left Handed,Right,Medium,Right arm Medium
1979-1983,390,Colin E H Croft,West Indies,,17,5,13,33,1,0,0.76,39.39,17,956,159.33,18,526,24,3.3,39.83,Right,Right Handed,Right,Fast,Right arm Fast
1979-1983,938,Collis L King,West Indies,,14,10,258,235,20,7,18.43,109.79,12,606,101.0,7,424,11,4.2,55.09,Right,Right Handed,Right,Medium,Right arm Medium
1979-1983,2719,Cornelius C Henry,Canada,,2,2,6,14,1,0,3.0,42.86,2,90,15.0,0,53,2,3.53,45.0,Right,Right Handed,Right,Medium,Right arm Medium
1979-1983,648,Cuthbert Gordon Greenidge,West Indies,,44,44,2087,3320,165,28,47.43,62.86,2,60,10.0,0,45,1,4.5,60.0,Right,Right Handed,Right,Off Break,Right arm Off Break
1979-1983,429,Dandeniyage S De Silva,Sri Lanka,,21,18,210,350,11,0,10.0,60.0,21,1122,187.0,10,825,17,4.41,66.0,Right,Right Handed,Right,Leg Break,Right arm Leg Break
1979-1983,1891,Davenell F Whatmore,Australia,,1,1,2,6,0,0,2.0,33.33,0,0,,0,0,0,,,Right,Right Handed,,,
1979-1983,1239,David A Murray,West Indies,,8,5,42,116,6,0,5.25,36.21,0,0,,0,0,0,,,Right,Right Handed,,,
1979-1983,801,David Houghton,Zimbabwe,,6,6,176,286,17,2,29.33,61.54,0,0,,0,0,0,,,,,,,
1979-1983,634,David I Gower,England,,54,51,1794,2279,167,17,33.22,78.72,1,3,0.5,0,5,0,10.0,,Left,Left Handed,Right,Off Break,Right arm Off Break
1979-1983,118,David L Bairstow,England,,18,17,176,318,10,1,9.78,55.35,0,0,,0,0,0,,,Right,Right Handed,,,
1979-1983,1025,David Lloyd,England,England,1,1,1,8,0,0,1.0,12.5,0,0,,0,0,0,,,Left,Left hand Bat,Left,Orthodox,Slow Left arm Orthodox
1979-1983,790,David W Hookes,Australia,,27,26,668,885,61,13,24.74,75.48,3,29,4.83,0,28,1,5.79,29.0,Left,Left Handed,Left,Wrist Spin (Chinaman),Left arm Wrist Spin (Chinaman)
1979-1983,1013,Dennis K Lillee,Australia,,54,31,208,273,15,1,3.85,76.19,54,3013,502.17,69,1748,89,3.48,33.85,Right,Right Handed,Right,Fast,Right arm Fast
1979-1983,1798,Derek Leslie Underwood,England,,10,2,4,6,0,0,0.4,66.67,10,528,88.0,7,364,14,4.14,37.71,Right,Right Handed,Left,Orthodox,Slow Left arm Orthodox
1979-1983,1400,Derek Pringle,England,,4,2,45,56,4,0,11.25,80.36,4,216,36.0,1,197,4,5.47,54.0,,,,,
1979-1983,1335,Derek R Parry,West Indies,,5,4,56,70,2,0,11.2,80.0,5,288,48.0,1,232,9,4.83,32.0,Right,Right Handed,Right,Off Break,Right arm Off Break
1979-1983,1436,Derek W Randall,England,,33,29,588,964,35,3,17.82,61.0,1,2,0.33,0,2,1,6.0,2.0,Right,Right Handed,Right,Medium,Right arm Medium
1979-1983,1240,Deryck Lance Murray,West Indies,,14,8,80,140,6,0,5.71,57.14,0,0,,0,0,0,,,Right,Right Handed,,,
1979-1983,734,Desmond L Haynes,West Indies,,51,51,1414,2460,117,4,27.73,57.48,0,0,,0,0,0,,,Right,Right Handed,Right,Medium,Right arm Medium
1979-1983,2665,Deva L S De Silva,Sri Lanka,,2,1,10,35,0,0,5.0,28.57,2,120,20.0,2,54,2,2.7,60.0,Right,Right Handed,Right,Fast Medium,Right arm Fast Medium
1979-1983,462,Dilip Doshi,India,,15,5,9,20,0,0,0.6,45.0,14,744,124.0,8,497,22,4.01,33.82,,,,,
1979-1983,1813,Dillip B Vengsarkar,India,,34,33,855,1349,55,4,25.15,63.38,1,6,1.0,0,4,0,4.0,,Right,Right Handed,Right,Medium,Right arm Medium
1979-1983,1883,Dirk Wellham,Australia,,1,1,42,69,0,0,42.0,60.87,0,0,,0,0,0,,,,,,,
1979-1983,2686,Duncan Fletcher,Zimbabwe,,6,6,191,289,14,0,31.83,66.09,5,252,42.0,5,182,7,4.33,36.0,,,,,
1979-1983,749,Edward Hemmings,England,,5,2,4,11,0,0,0.8,36.36,5,249,41.5,4,175,5,4.22,49.8,,,,,
1979-1983,129,Eldine Baptiste,West Indies,,5,2,5,5,0,0,1.0,100.0,5,288,48.0,7,215,6,4.48,48.0,,,,,
1979-1983,535,Ellukutige Fernando,Sri Lanka,,7,5,101,156,7,0,14.43,64.74,0,0,,0,0,0,,,,,,,
1979-1983,1111,Everton Mattis,West Indies,,2,2,86,190,6,0,43.0,45.26,0,0,,0,0,0,,,,,,,
1979-1983,317,Ewen J Chatfield,New Zealand,,41,18,66,188,4,0,1.61,35.11,41,2370,395.0,53,1409,57,3.57,41.58,Right,Right Handed,Right,Medium Fast,Right arm Medium Fast
1979-1983,2667,Franklym A Dennis,Canada,,3,3,47,171,4,0,15.67,27.49,0,0,,0,0,0,,,Right,Right Handed,,,
1979-1983,2698,Frederick R M D Goonatillake,Sri Lanka,,1,0,0,0,0,0,0.0,,1,54,9.0,1,34,0,3.78,,Right,Right Handed,Right,Medium,Right arm Medium
1979-1983,1772,Gary B Troup,New Zealand,,16,8,75,93,5,2,4.69,80.65,16,874,145.67,18,573,26,3.93,33.62,Right,Right Handed,Left,Fast Medium,Left arm Fast Medium
1979-1983,367,Gary J Cosier,Australia,,6,4,42,45,3,1,7.0,93.33,5,254,42.33,5,165,8,3.9,31.75,Right,Right Handed,Right,Medium,Right arm Medium
1979-1983,1491,Gary Robertson,New Zealand,,1,1,17,10,1,1,17.0,170.0,1,60,10.0,1,29,2,2.9,30.0,,,,,
1979-1983,218,Geoffrey Boycott,England,,26,25,956,1691,72,0,36.77,56.53,6,168,28.0,1,105,5,3.75,33.6,Right,Right Handed,Right,Medium,Right arm Medium
1979-1983,357,Geoffrey Cook,England,England,6,6,106,261,6,0,17.67,40.61,0,0,,0,0,0,,,Right,Right hand Bat,Left,Orthodox,Slow Left arm Orthodox
1979-1983,488,Geoffrey Dymock,Australia,Australia,12,6,33,80,1,0,2.75,41.25,11,594,99.0,15,296,12,2.99,49.5,Left,Left hand Bat,Left,Fast Medium,Left arm Fast Medium
1979-1983,992,Geoffrey Francis Lawson,Australia,,32,23,167,210,8,3,5.22,79.52,32,1708,284.67,36,1072,38,3.77,44.95,Right,Right Handed,Right,Fast Medium,Right arm Fast Medium
1979-1983,2724,Geoffrey Humpage,England,,3,2,11,24,0,0,3.67,45.83,0,0,,0,0,0,,,,,,,
1979-1983,1177,Geoffrey Miller,England,,15,9,94,147,10,0,6.27,63.95,15,816,136.0,7,532,13,3.91,62.77,Right,Right Handed,Right,Off Break,Right arm Off Break
1979-1983,804,Geoffrey Philip Howarth,New Zealand,,44,42,889,1339,79,3,20.2,66.39,5,72,12.0,0,49,2,4.08,36.0,Right,Right Handed,Right,Off Break,Right arm Off Break
1979-1983,2821,Gerald Peckover,Zimbabwe,,3,3,33,54,3,0,11.0,61.11,0,0,,0,0,0,,,,,,,
1979-1983,1322,Ghulam Parkar,India,,3,3,54,97,1,0,18.0,55.67,0,0,,0,0,0,,,,,,,
1979-1983,431,Ginigalgodage R A de Silva,Sri Lanka,,5,3,9,21,0,0,1.8,42.86,5,263,43.83,2,216,9,4.93,29.22,Left,Left Handed,Left,Orthodox,Slow Left arm Orthodox
1979-1983,1785,Glenn M Turner,New Zealand,,27,27,1010,1382,104,5,37.41,73.08,1,6,1.0,1,0,0,0.0,,Right,Right Handed,,,
1979-1983,2863,Glenroy R Sealy,Canada,,3,3,73,149,9,0,24.33,48.99,1,36,6.0,0,21,0,3.5,,Right,Right Handed,Right,Medium,Right arm Medium
1979-1983,158,Graeme Beard,Australia,,2,0,0,0,0,0,0.0,,2,112,18.67,3,70,4,3.75,28.0,,,,,
1979-1983,2830,Graeme D Porter,Australia,,2,1,3,9,0,0,1.5,33.33,2,108,18.0,5,33,3,1.83,36.0,Right,Right Handed,Right,Medium,Right arm Medium
1979-1983,559,Graeme Fowler,England,England,8,8,360,594,37,0,45.0,60.61,0,0,,0,0,0,,,Left,Left hand Bat,Right,Medium,Right arm Medium
1979-1983,1929,Graeme M Wood,Australia,,52,49,1465,2565,122,1,28.17,57.12,0,0,,0,0,0,,,Left,Left Handed,,,
1979-1983,627,Graham A Gooch,England,,32,31,912,1428,91,7,28.5,63.87,24,737,122.83,6,583,14,4.75,52.64,Right,Right Handed,Right,Medium,Right arm Medium
1979-1983,1679,Graham B Stevenson,England,,4,4,43,56,4,0,10.75,76.79,4,192,32.0,3,125,7,3.91,27.43,Right,Right Handed,Right,Fast Medium,Right arm Fast Medium
1979-1983,497,Graham Edwards,New Zealand,,2,2,53,75,5,0,26.5,70.67,0,0,,0,0,0,,,,,,,
1979-1983,1952,Graham N Yallop,Australia,,22,21,695,1122,54,3,31.59,61.94,4,138,23.0,0,119,3,5.17,46.0,Left,Left Handed,Left,Medium,Left arm Medium
1979-1983,450,Graham R Dilley,England,,17,10,95,93,11,0,5.59,102.15,17,924,154.0,14,557,17,3.62,54.35,Left,Left Handed,Right,Fast,Right arm Fast
1979-1983,2819,Grant Paterson,Zimbabwe,,6,6,99,234,10,0,16.5,42.31,0,0,,0,0,0,,,,,,,
