player_id,full_name,country,batting_style_raw,batting_hand,bowling_style_raw,bowling_hand,bowling_style
1899,Michael Whitney,,,,,,
593,Michael William Gatting,,Right Handed,Right,Right arm Medium,Right,Medium
3435,Michael Yardy,,,,,,
6246,Michael van Lingen,Namibia,Left hand Bat,Left,Left arm Medium,Left,Medium
5962,Michau du Preez,,,,,,
4269,Miguel Cummins,,,,,,
4453,Milinda Siriwardana,,,,,,
2833,Milton R Pydanna,,Right Handed,Right,,,
5922,Milton Shumba,Zimbabwe,Left hand Bat,Left,Slow Left arm Orthodox,Left,Orthodox
1621,Milton Small,,,,,,
2783,Minhajul Abedin,,,,,,
5500,Minod Bhanuka,,,,,,
3727,Mirwais Ashraf,Afghanistan,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
2262,Misbah-ul-Haq Khan Niazi,Pakistan,Right hand Bat,Right,Leg Break,,Leg Break
3334,Mitchell Johnson,,,,,,
3912,Mitchell Marsh,,,,,,
3984,Mitchell McClenaghan,,,,,,
4429,Mitchell Santner,,,,,,
3830,Mitchell Starc,,,,,,
4796,Mitchell Swepson,,,,,,
1888,Mithra Wettimuny,,,,,,
2222,Mluleki Nkala,,,,,,
4271,Moeen Ali,,,,,,
3051,Mohamad Rafiqul Islam,Cyprus,Right hand Bat,Right,Right arm Medium,Right,Medium
6553,Mohammad Aadil Alam,Nepal,Right hand Bat,Right,Right arm Medium,Right,Medium
4683,Mohammad Abbas,Pakistan,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
3040,Mohammad Adeel Khalid Raja,Netherlands,Right hand Bat,Right,Right arm Off Break,Right,Off Break
3190,Mohammad Afzaal Haider,Hong Kong,Right hand Bat,Right,Right arm Medium,Right,Medium
2033,Mohammad Akram Awan,Pakistan,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
2237,Mohammad Akram Hussain Khan,Bangladesh,Right hand Bat,Right,Right arm Medium,Right,Medium
1445,Mohammad Akram Raza,Pakistan,Right hand Bat,Right,Right arm Off Break,Right,Off Break
2238,Mohammad Al-Sahariar,Bangladesh,Right hand Bat,Right,Leg Break,,Leg Break
3571,Mohammad Aman Ali,United Arab Emirates,Right hand Bat,Right,Left arm Fast Medium,Left,Fast Medium
2236,Mohammad Aminul Islam,Bangladesh,Right hand Bat,Right,Right arm Off Break,Right,Off Break
3698,Mohammad Amir,Pakistan,Left hand Bat,Left,Left arm Fast Medium,Left,Fast Medium
3979,Mohammad Anamul Haque Bijoy,Bangladesh,Right hand Bat,Right,,,
3052,Mohammad Anwar Hossain,Bangladesh,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
3062,Mohammad Anwar Hossain,Bangladesh,Right hand Bat,Right,,,
4721,Mohammad Ashfaq Ahmed,United Arab Emirates,Right hand Bat,Right,Right arm Off Break,Right,Off Break
2964,Mohammad Ashraful,Bangladesh,Right hand Bat,Right,"Right arm Off Break, Leg Break",Right,Off Break
3245,Mohammad Asif,Pakistan,,,,,
1231,Mohammad Asif Mujtaba,Pakistan,Left hand Bat,Left,Slow Left arm Orthodox,Left,Orthodox
2785,Mohammad Aslam Khokhar,Pakistan,Right hand Bat,Right,Leg Break,,Leg Break
109,Mohammad Azharuddin,India,Right hand Bat,Right,Right arm Medium,Right,Medium
4425,Mohammad Babar Azam,Pakistan,Right hand Bat,Right,Right arm Off Break,Right,Off Break
4481,Mohammad Bilal Asif,Pakistan,Right hand Bat,Right,Right arm Off Break,Right,Off Break
4722,Mohammad Boota,United Arab Emirates,Right hand Bat,Right,Right arm Medium,Right,Medium
3915,Mohammad Elias Sunny,Bangladesh,Left hand Bat,Left,Slow Left arm Orthodox,Left,Orthodox
3101,Mohammad Hafeez,Pakistan,Right hand Bat,Right,Right arm Off Break,Right,Off Break
6630,Mohammad Haris,Pakistan,Right hand Bat,Right,Right arm Off Break,Right,Off Break
4991,Mohammad Hasnain,Pakistan,Right hand Bat,Right,Right arm Fast,Right,Fast
2072,Mohammad Hussain,Pakistan,Left hand Bat,Left,Slow Left arm Orthodox,Left,Orthodox
4746,Mohammad Hussain Talat,Pakistan,Left hand Bat,Left,Right arm Medium Fast,Right,Medium Fast
928,Mohammad Imran Khan,Pakistan,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
3850,Mohammad Imran Tahir,South Africa,Right hand Bat,Right,Leg Break Googly,,Leg Break Googly
3504,Mohammad Iqbal,Canada,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
1410,Mohammad Iqbal Qasim,Pakistan,Left hand Bat,Left,Slow Left arm Orthodox,Left,Orthodox
2728,Mohammad Iqbal Sikander,Pakistan,Right hand Bat,Right,Leg Break Googly,,Leg Break Googly
2215,Mohammad Irfan Fazil,Pakistan,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
3821,Mohammad Irfan Khan,Pakistan,Right hand Bat,Right,Leg Break Googly,,Leg Break Googly
2786,Mohammad Ishaq Shirzad,Afghanistan,Right-hand bat,Right,,,
3777,Mohammad Jahurul Islam,Bangladesh,Right hand Bat,Right,Right arm Off Break,Right,Off Break
3813,Mohammad Javed Ahmadi,Afghanistan,Right hand Bat,Right,Right arm Off Break,Right,Off Break
1169,Mohammad Javed Miandad Khan,Pakistan,Right hand Bat,Right,Leg Break Googly,,Leg Break Googly
2733,Mohammad Javed Omar Belim,Bangladesh,Right hand Bat,Right,Leg Break,,Leg Break
3855,Mohammad Junaid Khan,Pakistan,Right hand Bat,Right,Left arm Fast,Left,Fast
3517,Mohammad Junaid Siddique,Bangladesh,Left hand Bat,Left,Right arm Off Break,Right,Off Break
2001,Mohammad Kabir Khan,Pakistan,Right hand Bat,Right,Left arm Fast Medium,Left,Fast Medium
2213,Mohammad Kaif,India,Right hand Bat,Right,Right arm Off Break,Right,Off Break
3522,Mohammad Kamran Hussain,Pakistan,Right hand Bat,Right,Left arm Fast Medium,Left,Fast Medium
3411,Mohammad Kashif,Netherlands,Right hand Bat,Right,Right arm Off Break,Right,Off Break
3240,Mohammad Khalil,Pakistan,Left hand Bat,Left,Left arm Medium,Left,Medium
2759,Mohammad Mahbubur Rahman,Bangladesh,,,,,
3488,Mohammad Mahmudullah,Bangladesh,Right hand Bat,Right,Right arm Off Break,Right,Off Break
2762,Mohammad Manjurul Islam,Bangladesh,Left hand Bat,Left,Left arm Fast Medium,Left,Fast Medium
7273,Mohammad Mirttunjoy Chowdhury Nipun,Bangladesh,Left hand Bat,Left,Left arm Medium Fast,Left,Medium Fast
4266,Mohammad Mithun,Bangladesh,Right hand Bat,Right,,,
931,Mohammad Moin Khan,Pakistan,Right hand Bat,Right,Right arm Off Break,Right,Off Break
2788,Mohammad Morshed Ali Khan,Bangladesh,Left hand Bat,Left,Left arm Medium,Left,Medium
3279,Mohammad Mushfiqur Rahim,Bangladesh,Right hand Bat,Right,,,
3665,Mohammad Nabi,Afghanistan,Right hand Bat,Right,Right arm Off Break,Right,Off Break
4469,Mohammad Nadeem,Oman,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
600,Mohammad Nadeem Ghauri,Pakistan,Right hand Bat,Right,Slow Left arm Orthodox,Left,Orthodox
932,Mohammad Nadeem Khan,Pakistan,Right hand Bat,Right,Slow Left arm Orthodox,Left,Orthodox
5659,Mohammad Naim Sheikh,Bangladesh,Left hand Bat,Left,,,
3878,Mohammad Nasir Hossain,Bangladesh,Right hand Bat,Right,Right arm Off Break,Right,Off Break
4305,Mohammad Naveed,United Arab Emirates,Right hand Bat,Right,Right arm Medium,Right,Medium
4536,Mohammad Nawaz,Pakistan,Left hand Bat,Left,Slow Left arm Orthodox,Left,Orthodox
1260,Mohammad Nazir,Pakistan,Right hand Bat,Right,Right arm Off Break,Right,Off Break
3225,Mohammad Nazmul Hossain,Bangladesh,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
4736,Mohammad Nazmul Islam,Bangladesh,Left hand Bat,Left,Slow Left arm Orthodox,Left,Orthodox
2240,Mohammad Rafique,Bangladesh,Left hand Bat,Left,Slow Left arm Orthodox,Left,Orthodox
7198,Mohammad Rishad Hossain,Bangladesh,Right hand Bat,Right,Leg Break Googly,,Leg Break Googly
4412,Mohammad Rizwan,Pakistan,Right hand Bat,Right,,,
3635,Mohammad Rubel Hossain,Bangladesh,Right hand Bat,Right,Right arm Fast,Right,Fast
4268,Mohammad Sabbir Rahman,Bangladesh,Right hand Bat,Right,Leg Break,,Leg Break
2850,Mohammad Saif-Ul Islam,Norway,Right hand Bat,Right,Right arm Medium,Right,Medium
4677,Mohammad Saifuddin,Bangladesh,Left hand Bat,Left,Right arm Medium Fast,Right,Medium Fast
7353,Mohammad Saleem Safi,Afghanistan,Right hand Bat,Right,Right arm Fast,Right,Fast
3111,Mohammad Salim,Bangladesh,Right hand Bat,Right,,,
3856,Mohammad Salman,Pakistan,Right hand Bat,Right,Leg Break,,Leg Break
2264,Mohammad Sami,Pakistan,Right hand Bat,Right,Right arm Fast,Right,Fast
3520,Mohammad Samiullah Khan Niazi,Pakistan,Right hand Bat,Right,Left arm Medium Fast,Left,Medium Fast
2861,Mohammad Sanuar Hossain,Bangladesh,Right hand Bat,Right,Right arm Off Break,Right,Off Break
5765,Mohammad Sanuth,,,,,,
2062,Mohammad Shadab Kabir Siddiqi,Pakistan,Left hand Bat,Left,Right arm Off Break,Right,Off Break
2233,Mohammad Shahriar Hossain,Bangladesh,Right hand Bat,Right,Right arm Off Break,Right,Off Break
4306,Mohammad Shahzad,United Arab Emirates,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
3728,Mohammad Shahzad Mohammadi,Afghanistan,Right hand Bat,Right,,,
3702,Mohammad Shahzaib Hasan Khan,Pakistan,Right hand Bat,Right,Right arm Off Break,Right,Off Break
4018,Mohammad Shamsur Rahman,Bangladesh,Right hand Bat,Right,,,
2876,Mohammad Sheikh,,,,,,
5958,Mohammad Shoriful Islam,Bangladesh,Left hand Bat,Left,Left arm Medium Fast,Left,Medium Fast
3649,Mohammad Talha,Pakistan,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
3010,Mohammad Tareq Aziz Khan,Bangladesh,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
3199,Mohammad Tauqir,United Arab Emirates,Right hand Bat,Right,Right arm Off Break,Right,Off Break
2077,Mohammad Wasim,Pakistan,Right hand Bat,Right,Leg Break Googly,,Leg Break Googly
6058,Mohammad Wasim,Pakistan,Right hand Bat,Right,Leg Break Googly,,Leg Break Googly
